AWAY_NAME,HOME_NAME,AWAY_GamesWon,AWAY_GamesLost,HOME_GamesWon,HOME_GamesLost,HOMEvsAWAY_winRatio,AWAY_longestWinStreak,AWAY_longestLoseStreak,HOME_longestWinStreak,HOME_longestLoseStreak,AWAY_homeTurfAdvantage,HOME_homeTurfAdvantage,AWAY_nonconsecutiveWins,AWAY_nonconsecutiveLosts,HOME_nonconsecutiveWins,HOME_nonconsecutiveLosts,AWAY TEAM 2P %,AWAY TEAM 3P %,AWAY TEAM FT %,AWAY TEAM ALL throws %,HOME TEAM 2P %,HOME TEAM 3P %,HOME TEAM FT %,HOME TEAM ALL throws %,AWAY TEAM FOULS,HOME TEAM FOULS,AWAY TEAM TO,AWAY TEAM OR,AWAY TEAM DR,HOME TEAM TO,HOME TEAM OR,HOME TEAM DR,Q1 lead HOME vs AWAY,Q2 lead HOME vs AWAY,Q3 lead HOME vs AWAY,Q4 lead HOME vs AWAY,diffPTS_Q2,diffPTS_Q3,finalScoreDifferential,HOME_win
TOR,MIL,2,0,1,1,0,2,0,1,1,1.0,0,0,0,0,1,0.45,0.38,0.81,0.43,0.49,0.29,0.73,0.47,14,11,14,13,26,19,13,24,-5,-6,-7,1,1,2,-4,False
WAS,DET,0,1,1,0,0,0,1,1,0,-1.0,1.0,0,0,0,0,0.42,0.24,0.67,0.37,0.44,0.46,0.88,0.44,15,14,12,5,32,15,14,27,6,10,11,6,2,-2,8,True
MIL,NY,1,2,1,1,0,1,1,1,1,-1.0,1.0,1,1,1,0,0.49,0.27,0.7,0.46,0.56,0.38,0.63,0.53,15,13,19,10,26,17,13,40,4,13,17,17,-2,-10,-8,False
MIN,OKC,1,1,0,2,0,1,1,0,2,0.0,-1.0,1,0,0,0,0.48,0.18,0.71,0.44,0.43,0.23,0.79,0.4,11,9,13,8,33,18,11,30,-4,-7,-7,0,-4,-3,3,True
CHI,ORL,2,1,1,2,0,1,1,1,2,1.0,0.0,1,1,0,0,0.45,0.36,0.77,0.44,0.51,0.23,0.75,0.44,18,13,19,12,27,12,13,29,-3,-3,-5,2,-8,5,3,True
CLE,DAL,1,2,1,1,0,1,1,1,1,1.0,-1.0,1,1,0,1,0.51,0.36,0.71,0.47,0.45,0.17,0.87,0.4,15,13,17,9,27,12,10,31,-5,-4,-1,-10,1,1,-19,False
DET,CHA,2,0,1,1,0,2,0,1,1,1.0,1.0,0,0,0,1,0.49,0.45,0.86,0.49,0.55,0.41,0.66,0.51,12,14,15,5,26,18,12,31,7,14,9,15,-1,5,-18,False
GS,MEM,1,2,1,2,0,1,2,1,1,-1.0,1.0,0,0,1,1,0.48,0.4,0.77,0.46,0.4,0.3,0.81,0.38,15,10,16,13,30,12,12,33,3,-5,-1,7,-1,-16,11,True
SAC,PHI,0,3,1,2,0,0,3,1,1,0,0.0,0,0,1,1,0.53,0.37,0.63,0.5,0.48,0.32,0.7,0.45,14,8,17,8,30,16,16,36,-2,-3,0,8,10,12,34,True
UTA,LAC,2,0,0,3,-1.0,2,0,0,3,1.0,-1.0,0,0,0,0,0.51,0.24,0.69,0.48,0.46,0.21,0.65,0.42,12,15,15,9,30,12,14,27,1,1,-2,-6,0,15,-16,False
BOS,HOU,2,1,3,0,0,2,1,3,0,1.0,1.0,0,0,0,0,0.47,0.25,0.75,0.43,0.41,0.28,0.84,0.38,16,9,22,12,33,13,10,34,4,1,2,4,7,11,-4,False
DAL,SA,1,2,0,2,0,1,1,0,2,-1.0,-1.0,1,1,0,0,0.46,0.18,0.84,0.41,0.52,0.34,0.72,0.48,14,10,11,11,34,6,10,27,-2,1,3,-2,-9,-6,-17,False
PHO,NJ,2,1,1,1,0,1,1,1,1,0.0,-1.0,1,1,1,0,0.58,0.36,0.73,0.53,0.44,0.27,0.71,0.4,11,17,11,9,24,16,14,28,0,0,-9,-9,-1,8,-28,False
ATL,NO,2,0,3,0,0,2,0,3,0,1.0,1.0,0,0,0,0,0.46,0.24,0.72,0.4,0.51,0.44,0.74,0.49,9,12,16,16,34,17,9,28,-3,-4,-4,-2,-13,-9,-8,False
BOS,OKC,3,1,1,2,0,2,1,1,2,1.0,0.0,0,1,0,0,0.46,0.26,0.77,0.42,0.43,0.26,0.74,0.41,15,9,21,13,32,16,14,30,-3,-5,-6,1,-5,-3,-13,False
CHA,NY,1,2,1,2,0,1,1,1,2,0.0,0.0,1,1,1,0,0.53,0.36,0.7,0.49,0.51,0.36,0.68,0.48,15,13,10,13,20,17,12,37,1,7,7,8,-2,-13,3,True
CHI,CLE,2,2,2,2,0,1,1,1,1,1.0,1.0,2,1,1,2,0.45,0.36,0.75,0.43,0.5,0.32,0.73,0.45,17,14,18,11,29,15,10,28,-5,0,2,3,3,8,14,True
DEN,GS,1,2,1,3,0,1,1,1,2,-1.0,-1.0,1,1,1,0,0.47,0.27,0.75,0.44,0.47,0.41,0.74,0.46,15,13,15,12,37,15,11,30,4,1,-3,-1,6,0,10,True
DET,TOR,3,0,3,0,0,3,0,3,0,1.0,1.0,0,0,0,0,0.49,0.39,0.84,0.47,0.46,0.33,0.75,0.43,13,10,12,8,26,15,12,31,2,-3,-6,-5,-2,-13,-7,False
LAC,LAL,0,4,3,0,1.0,0,4,3,0,-1.0,1.0,0,0,0,0,0.45,0.24,0.6,0.41,0.46,0.43,0.71,0.44,12,14,15,12,36,17,7,32,1,2,-3,-9,-1,-5,18,True
MEM,SAC,2,2,0,4,0,1,1,0,4,1.0,0,1,2,0,0,0.42,0.33,0.78,0.4,0.54,0.47,0.65,0.52,13,10,16,12,34,13,12,26,6,13,17,20,4,6,5,True
PHI,MIA,2,2,1,2,0,1,1,1,1,0.3333,1.0,1,2,1,1,0.5,0.43,0.7,0.49,0.51,0.44,0.66,0.5,11,13,14,12,26,16,13,30,5,14,18,14,20,28,23,True
PHO,IND,3,1,1,1,0,2,1,1,1,0.0,1.0,1,1,0,1,0.52,0.35,0.77,0.48,0.45,0.37,0.86,0.42,11,15,13,8,27,14,13,31,8,8,11,11,-10,-15,-10,False
POR,UTA,1,2,3,0,0,1,1,3,0,1.0,1.0,1,1,0,0,0.51,0.47,0.81,0.49,0.48,0.26,0.61,0.45,12,13,13,9,25,14,12,30,1,1,6,3,-1,8,7,True
SA,MIN,0,3,1,2,0,0,3,1,2,-1.0,0.0,0,0,1,0,0.49,0.35,0.71,0.46,0.46,0.23,0.69,0.43,10,10,10,7,30,13,13,30,-4,0,-3,-2,-18,-18,-4,False
WAS,MIL,0,2,2,2,0,0,2,1,1,-1.0,-1.0,0,0,1,2,0.49,0.33,0.76,0.45,0.47,0.29,0.72,0.44,15,12,10,5,25,17,11,27,-4,-5,-10,-3,-1,5,8,True
HOU,POR,3,1,1,3,0,3,1,1,2,0.3333,1.0,0,0,1,1,0.42,0.28,0.85,0.38,0.52,0.44,0.84,0.5,14,8,15,10,34,12,9,30,3,3,7,9,-5,-3,2,True
PHI,ORL,2,3,2,2,0,1,1,2,2,0.3333,0.3333,2,2,0,0,0.5,0.41,0.72,0.48,0.49,0.25,0.73,0.43,11,12,17,11,27,14,14,30,0,-2,-2,2,21,12,10,True
DAL,DEN,2,2,1,3,0,1,1,1,2,-1.0,-1.0,1,2,1,1,0.45,0.22,0.8,0.41,0.49,0.23,0.74,0.44,13,16,10,10,34,15,12,32,0,6,5,1,-18,-18,3,True
DET,NJ,4,0,1,2,0,4,0,1,2,1.0,-1.0,0,0,1,0,0.48,0.39,0.86,0.47,0.41,0.29,0.77,0.38,12,15,11,9,27,15,13,26,-2,-3,-11,-16,-8,-5,7,True
HOU,LAC,3,2,0,5,0,3,2,0,5,0.3333,-1.0,0,0,0,0,0.43,0.29,0.83,0.4,0.44,0.26,0.63,0.41,13,13,13,9,33,13,13,29,1,-1,-2,-3,1,3,-9,False
IND,CLE,1,2,3,2,0,1,1,2,1,0.0,1.0,1,1,1,2,0.46,0.36,0.82,0.43,0.49,0.32,0.75,0.45,11,13,21,10,34,14,10,29,-3,2,4,5,7,-6,4,True
MEM,GS,2,3,2,3,-1.0,1,1,1,2,1.0,0.0,2,2,1,1,0.44,0.39,0.76,0.43,0.49,0.35,0.73,0.46,12,13,16,12,31,14,12,30,2,0,-1,1,7,13,-5,False
MIA,SA,2,2,1,3,0,1,1,1,3,1.0,-1.0,1,2,0,0,0.52,0.41,0.69,0.49,0.48,0.36,0.74,0.46,16,9,19,11,28,7,9,29,-3,-3,-4,-6,21,12,-16,False
MIL,BOS,3,2,4,1,0,2,1,2,1,0.0,1.0,1,2,0,1,0.48,0.29,0.7,0.45,0.44,0.3,0.78,0.41,13,14,18,10,29,15,11,32,3,1,2,4,-6,-12,12,True
MIN,SAC,1,3,1,4,-1.0,1,3,1,4,-0.3333,1.0,1,0,0,0,0.46,0.28,0.72,0.43,0.53,0.5,0.66,0.52,11,11,13,8,33,14,11,26,6,12,16,17,4,-3,12,True
NO,CHA,3,1,1,3,0,3,1,1,2,0.0,0.0,0,0,1,1,0.49,0.42,0.75,0.47,0.52,0.39,0.76,0.49,11,10,14,9,29,17,10,28,1,6,2,3,-6,4,3,True
NY,WAS,2,2,0,3,0,1,2,0,3,0.3333,-1.0,1,0,0,0,0.51,0.39,0.74,0.48,0.5,0.32,0.72,0.47,10,15,14,14,31,17,13,31,7,-2,-3,-1,0,5,-6,False
OKC,UTA,1,3,4,0,0,1,2,4,0,-0.3333,1.0,1,0,0,0,0.41,0.31,0.76,0.4,0.5,0.29,0.7,0.47,12,13,16,10,32,14,12,29,1,-1,3,4,-7,-15,7,True
PHO,CHI,4,1,2,3,0,3,1,1,2,0.0,1.0,1,1,2,1,0.52,0.35,0.76,0.48,0.46,0.35,0.77,0.44,12,12,14,8,28,17,13,33,5,5,9,11,7,-6,17,True
