DATE,AWAY_NAME,HOME_NAME,AWAY_2PA,AWAY_2PM,AWAY_3PA,AWAY_3PM,AWAY_FTA,AWAY_FTM,AWAY_TO,AWAY_ORB,AWAY_DRB,HOME_2PA,HOME_2PM,HOME_3PA,HOME_3PM,HOME_FTA,HOME_FTM,HOME_TO,HOME_ORB,HOME_DRB,AWAY_PTS_Q1,HOME_PTS_Q1,AWAY_PTS_Q2,HOME_PTS_Q2,AWAY_PTS_Q3,HOME_PTS_Q3,AWAY_PTS_Q4,HOME_PTS_Q4,AWAY_PTS_FINAL,HOME_PTS_FINAL,HOME_WIN
2008-11-07,MEM,GS,72,36,17,5,30,22,13,17,38,72,34,12,2,43,30,13,13,28,28,30,48,50,81,74,109,104,109,104,False
2008-11-07,MIA,SA,61,29,16,7,22,20,8,7,38,50,21,35,11,13,8,14,12,32,26,12,50,32,75,56,99,83,99,83,False
2008-11-07,MIL,BOS,63,25,15,6,28,21,23,12,32,62,34,17,4,27,21,18,9,34,30,23,47,55,70,75,89,101,89,101,True
2008-11-07,MIN,SAC,61,28,23,8,33,29,10,14,24,66,39,18,7,23,22,10,10,30,27,36,55,62,79,92,109,121,109,121,True
2008-11-07,NO,CHA,48,21,28,11,19,14,17,11,26,49,21,18,7,31,29,15,10,27,28,26,35,47,61,66,89,92,89,92,True
2008-11-07,NY,WAS,58,33,32,13,19,9,10,4,32,73,41,16,5,19,11,12,9,41,29,28,64,58,89,88,114,108,114,108,False
2008-11-07,OKC,UTA,73,30,8,5,30,22,14,10,26,59,30,13,6,36,26,19,11,34,15,29,29,58,63,78,97,104,97,104,True
2008-11-07,PHO,CHI,59,24,10,4,29,23,18,5,28,61,34,16,6,24,14,12,10,37,17,20,34,48,59,79,83,100,83,100,True
2008-11-07,TOR,ATL,72,31,9,4,22,18,12,7,25,61,32,20,12,13,10,15,7,34,26,31,50,62,69,83,92,110,92,110,True
2008-11-08,CLE,CHI,66,32,16,6,28,24,12,12,24,72,31,13,5,23,20,14,17,21,32,27,54,57,74,77,106,97,106,97,False
2008-11-08,MIA,NO,51,23,21,8,26,19,10,8,29,49,24,27,10,29,22,10,12,33,23,24,36,47,66,74,89,100,89,100,True
2008-11-08,MIN,POR,72,30,12,5,24,18,11,14,24,52,27,21,7,30,22,11,16,29,24,18,49,43,70,69,93,97,93,97,True
2008-11-08,NJ,IND,57,23,18,6,26,16,14,10,27,49,25,33,11,22,15,13,15,36,27,32,51,49,66,74,80,98,80,98,True
2008-11-08,PHO,MIL,41,21,20,6,54,44,17,7,33,78,32,8,5,22,17,11,11,28,29,19,52,42,76,67,104,96,104,96,False
2008-11-08,WAS,ORL,63,25,16,6,18,13,16,7,28,54,31,24,8,30,20,13,12,30,21,27,39,58,58,84,81,106,81,106,True
2008-11-09,ATL,OKC,61,22,17,7,33,24,13,12,32,79,32,8,2,20,15,17,14,34,22,14,38,41,58,62,89,85,89,85,False
2008-11-09,BOS,DET,66,29,8,4,23,18,20,11,34,61,21,14,5,28,19,17,12,26,17,19,47,29,69,49,88,76,88,76,False
2008-11-09,DAL,LAC,69,33,18,3,23,17,13,11,33,58,29,20,9,23,18,18,6,35,24,25,45,47,69,73,92,103,92,103,True
2008-11-09,GS,SAC,81,36,14,3,26,17,16,15,30,75,37,13,5,32,26,17,13,37,33,36,57,63,74,90,98,115,98,115,True
2008-11-09,HOU,LAL,62,24,20,7,19,13,20,16,20,62,33,17,9,23,18,18,14,36,28,16,48,50,65,72,82,111,82,111,True
2008-11-09,MEM,DEN,55,22,16,5,38,31,23,5,35,62,29,16,4,45,30,22,11,40,34,28,54,53,69,73,90,100,90,100,True
2008-11-09,TOR,CHA,54,31,17,4,20,15,12,7,37,63,25,18,5,19,14,9,11,25,20,19,40,45,63,67,89,79,89,79,False
2008-11-09,UTA,NY,65,35,14,5,18,14,22,9,33,61,25,24,11,29,24,18,12,31,29,26,54,49,69,76,99,107,99,107,True
2008-11-10,MEM,PHO,71,34,15,4,25,22,16,11,28,55,29,21,8,28,25,19,7,31,19,19,44,44,70,82,102,107,102,107,True
2008-11-10,NJ,MIA,46,20,25,13,20,15,19,11,28,45,20,25,11,32,26,13,9,22,20,18,40,40,68,61,94,99,94,99,True
2008-11-10,OKC,IND,82,31,11,5,26,22,18,19,32,71,37,14,4,29,21,11,8,33,34,24,51,48,78,78,99,107,99,107,True
2008-11-10,POR,ORL,63,26,17,9,32,27,6,5,29,47,25,24,7,38,28,14,10,34,36,28,55,54,72,73,106,99,106,99,False
2008-11-10,TOR,BOS,58,25,19,8,18,13,16,8,31,53,26,20,6,27,24,11,5,34,23,18,48,36,65,59,87,94,87,94,True
2008-11-11,ATL,CHI,66,32,17,7,36,28,10,13,31,76,36,18,6,25,18,12,19,33,26,22,55,52,84,74,113,108,113,108,False
2008-11-11,DEN,CHA,58,28,15,4,28,20,16,8,27,50,24,27,7,17,11,18,6,30,18,24,42,46,71,62,88,80,88,80,False
2008-11-11,DET,SAC,58,26,19,6,36,30,7,11,28,66,35,14,4,17,10,13,11,33,18,31,50,50,75,77,100,92,100,92,False
2008-11-11,LAL,DAL,82,40,13,2,26,20,15,20,28,64,30,22,6,28,21,22,20,34,26,35,54,60,76,79,106,99,106,99,False
2008-11-11,MIL,CLE,63,23,16,7,31,26,17,17,28,52,32,20,3,32,26,10,8,28,18,23,42,48,71,74,93,99,93,99,True
2008-11-11,MIN,GS,85,42,25,5,14,11,11,20,27,61,30,19,8,37,29,20,11,38,27,27,50,58,87,83,106,106,110,113,True
2008-11-11,NY,SA,58,21,21,9,17,11,15,10,30,62,28,19,8,20,12,14,13,39,20,20,41,38,64,67,80,92,80,92,True
2008-11-11,UTA,PHI,70,34,17,4,18,13,15,15,32,67,27,9,2,24,20,17,9,33,26,20,49,37,63,67,93,80,93,80,False
2008-11-12,ATL,BOS,46,18,22,13,33,27,15,5,27,52,27,24,5,42,34,15,15,28,31,24,51,51,77,76,102,103,102,103,True
2008-11-12,HOU,PHO,69,33,17,6,15,10,10,11,34,71,29,14,3,17,15,14,16,35,23,22,44,37,74,55,94,82,94,82,False
